Custo dos Bens e/ou Serviços Vendidos,Lucro/Prejuízo Consolidado do Período,Receita de Venda de Bens e/ou Serviços,Crescimento (%)
-294457000.0,110421000.0,253071000.0,
-408468000.0,241622000.0,397871000.0,118.81888408907724
-435064000.0,30627000.0,533922000.0,-87.32441582306248
-528809000.0,204875000.0,848920000.0,568.9359062265321
-940379000.0,842346000.0,1644346000.0,311.1511897498475
-1286926000.0,452913000.0,1904185000.0,-46.23195219066749
-1883358000.0,1333046000.0,4396003000.0,194.32716658607725
-2106303000.0,3427072000.0,6363475000.0,157.08580199032892
